match_id,date,odd_1,odd_2,surface,round,tournament_type,rank_diff,wins2meses_p1,wins2meses_p2,ratio_superficie_p1,ratio_superficie_p2,h2h,ratio_ronda_p1,ratio_ronda_p2,experiencia_p1,experiencia_p2,target,is_new_p1,is_new_p2,elo_p1,elo_p2,elo_diff,elo_global_p1,elo_global_p2,elo_global_diff
2390,2008-01-01,0.625,0.375,Hard,1st Round,WTA250_o_menor,-59.0,0.0,0.0,0.0909090909090909,0.0,0.5,0.1904761904761904,0.0,28,3,1,0,1,1403.1396581872705,1457.7708119189808,-54.631153731710356,1428.5824947209583,1458.0672512672534,-29.484756546295102
2391,2008-01-01,0.1035856573705179,0.896414342629482,Hard,1st Round,WTA250_o_menor,303.0,0.0,0.6666666666666666,0.4,0.6578947368421053,0.5,0.4,0.8333333333333334,0,42,0,1,0,1500.0,1647.076399783351,-147.076399783351,1500.0,1684.5712430486478,-184.57124304864783
2392,2008-01-01,0.6752941176470588,0.3247058823529411,Hard,1st Round,WTA250_o_menor,23.0,0.0,0.0,0.4166666666666667,0.2272727272727272,0.5,0.4285714285714285,0.4230769230769231,37,43,1,0,0,1489.4465933760866,1383.5300172901884,105.91657608589821,1476.859043257023,1431.3622572960487,45.496785960974194
2393,2008-01-01,0.7322175732217574,0.2677824267782427,Hard,1st Round,WTA250_o_menor,-36.0,0.0,0.0,0.375,0.5714285714285714,0.5,0.56,0.5714285714285714,46,17,0,0,0,1457.1110936062055,1510.2465211481795,-53.13542754197397,1505.1175876732073,1541.1310363405942,-36.01344866738691
2394,2008-01-01,0.4623655913978494,0.5376344086021505,Hard,1st Round,WTA250_o_menor,-17.0,0.0,0.0,0.3076923076923077,0.5555555555555556,0.5,0.3636363636363636,0.5714285714285714,16,12,1,0,0,1429.8457169629762,1517.4557620393703,-87.61004507639404,1424.7991118726886,1510.2693020142935,-85.47019014160492
2395,2008-01-01,0.204946996466431,0.7950530035335689,Hard,1st Round,WTA250_o_menor,234.0,0.0,0.0,0.4,0.1666666666666666,0.5,0.4,0.2,0,6,0,1,1,1500.0,1436.0722196083725,63.92778039162749,1500.0,1438.8102431972961,61.18975680270387
2396,2008-01-01,0.75,0.25,Hard,1st Round,WTA250_o_menor,-50.0,0.0,0.0,0.5909090909090909,0.4,0.5,0.5384615384615384,0.5294117647058824,55,30,1,0,0,1585.099884279999,1476.3319341664012,108.76795011359786,1601.2523858950806,1477.5324487980984,123.71993709698222
2397,2008-01-01,0.3119266055045871,0.6880733944954128,Hard,2nd Round,WTA250_o_menor,35.0,0.0,1.0,0.4166666666666667,0.5294117647058824,0.5,0.4545454545454545,0.3,37,30,0,0,0,1500.714642487308,1536.8942858510625,-36.179643363754394,1490.7757334247133,1588.2764610544798,-97.50072762976652
2398,2008-01-01,0.7950530035335689,0.204946996466431,Hard,2nd Round,WTA250_o_menor,-76.0,0.6666666666666666,0.0,0.6578947368421053,0.3076923076923077,0.5,0.8333333333333334,0.3333333333333333,42,16,1,0,0,1656.6808224357594,1449.79691499094,206.88390744481944,1692.7900043090538,1444.6576357857725,248.13236852328123
2399,2008-01-02,0.1447368421052631,0.8552631578947368,Hard,2nd Round,WTA250_o_menor,-38.0,1.0,1.0,0.4230769230769231,0.9333333333333332,0.5,0.4,1.0,47,15,0,0,0,1482.2927658305628,1682.8406265710132,-200.54786074045046,1540.8885843916698,1694.7382880190514,-153.8497036273816
2400,2008-01-02,0.3967927631578947,0.6032072368421053,Hard,2nd Round,WTA250_o_menor,12.0,1.0,1.0,0.625,0.8,0.5,0.75,0.2,18,14,1,0,0,1523.8184452705893,1594.8129654327597,-70.99452016217037,1555.478470097149,1598.9273548333401,-43.448884736191076
2401,2008-01-02,0.582901554404145,0.4170984455958549,Hard,2nd Round,WTA250_o_menor,-86.0,1.0,1.0,0.4285714285714285,0.2857142857142857,0.5,0.1666666666666666,0.0,21,7,0,0,1,1474.3617303005901,1454.9834230809697,19.37830721962041,1459.6239370546618,1457.5993578314856,2.0245792231762607
2402,2008-01-02,0.3357487922705314,0.6642512077294687,Hard,2nd Round,WTA250_o_menor,48.0,1.0,1.0,0.1666666666666666,0.5,0.0,0.5,0.4117647058823529,29,53,1,0,0,1421.6349841616702,1519.3394522028423,-97.70446804117205,1445.9370676705068,1534.456539838019,-88.51947216751205
2403,2008-01-02,0.25,0.75,Hard,2nd Round,WTA250_o_menor,38.0,1.0,0.0,0.4545454545454545,0.53125,0.5,0.3333333333333333,0.6923076923076923,21,50,0,0,0,1501.1795893230794,1540.469166567664,-39.28957724458451,1528.397196479307,1571.404306464799,-43.00710998549198
2404,2008-01-02,0.7950530035335689,0.204946996466431,Hard,2nd Round,WTA250_o_menor,-38.0,1.0,1.0,0.6,0.4166666666666667,0.5,0.5333333333333333,0.375,56,24,1,0,0,1596.2484008217566,1482.9816904932743,113.2667103284823,1611.784075047552,1503.8400299340344,107.94404511351763
2405,2008-01-02,0.5890052356020942,0.4109947643979057,Hard,Quarterfinals,WTA250_o_menor,-16.0,1.0,1.0,0.6,0.5555555555555556,0.5,0.5,0.4,56,31,0,0,0,1607.209535894962,1551.2341480807434,55.97538781421872,1622.9670700980791,1599.900657244619,23.06641285346018
2406,2008-01-03,0.1691842900302115,0.8308157099697885,Hard,Quarterfinals,WTA250_o_menor,131.0,1.0,0.6666666666666666,0.375,0.675,0.5,0.4,0.5,8,44,1,1,0,1471.874902870763,1664.1398471941582,-192.26494432339518,1473.692592094967,1698.977319694259,-225.28472759929195
2407,2008-01-03,0.1169977924944812,0.8830022075055188,Hard,Quarterfinals,WTA250_o_menor,-3.0,1.0,1.0,0.6666666666666666,0.9375,0.0,1.0,1.0,19,16,0,0,0,1543.0431070344036,1690.5103189875674,-147.46721195316377,1573.4689993640648,1704.0826863205618,-130.61368695649708
2408,2008-01-03,0.3119266055045871,0.6880733944954128,Hard,Quarterfinals,WTA250_o_menor,63.0,1.0,1.0,0.2307692307692307,0.5454545454545454,0.0,1.0,0.25,30,51,1,0,0,1442.0194673951298,1554.6674881468577,-112.64802075172793,1465.927566809067,1585.4338099561155,-119.50624314704851
2409,2008-01-04,0.1691842900302115,0.8308157099697885,Hard,Semifinals,WTA250_o_menor,-31.0,1.0,1.0,0.5789473684210527,0.9411764705882352,0.5,0.4,0.6666666666666666,32,17,0,0,0,1569.7898359098704,1700.0996265090234,-130.30979059915308,1616.9613468713073,1714.3359138228755,-97.37456695156811
2410,2008-01-04,0.5890052356020942,0.4109947643979057,Hard,Semifinals,WTA250_o_menor,-63.0,1.0,1.0,0.2857142857142857,0.4444444444444444,0.5,1.0,0.4,31,9,1,0,1,1463.0326520560043,1495.923725268061,-32.891073212056654,1487.223791032609,1498.8222947843192,-11.598503751710268
2411,2008-01-05,0.1458607095926412,0.8541392904073586,Hard,The Final,WTA250_o_menor,18.0,1.0,1.0,0.3333333333333333,0.9444444444444444,0.5,0.4,1.0,32,18,0,0,0,1480.5428332055656,1710.3650473593245,-229.82221415375898,1503.7577235395086,1725.9654859049233,-222.20776236541474
2420,2008-01-01,0.6626506024096386,0.3373493975903614,Hard,1st Round,WTA250_o_menor,48.0,0.0,0.0,0.1666666666666666,0.1818181818181818,0.5,0.2307692307692307,0.45,19,36,1,0,0,1440.5323792392774,1409.6153821260439,30.916997113233492,1410.9685206399645,1441.7934017731745,-30.824881133210056
2421,2008-01-01,0.625,0.375,Hard,1st Round,WTA250_o_menor,-10.0,0.0,0.0,0.6304347826086957,0.6818181818181818,1.0,0.76,0.875,67,36,0,0,0,1583.6850209439951,1613.276608933725,-29.59158798972976,1621.0984831329688,1591.9343352865374,29.164147846431433
2422,2008-01-01,0.2903930131004367,0.7096069868995633,Hard,1st Round,WTA250_o_menor,23.0,0.0,0.0,0.4545454545454545,0.7297297297297297,0.0,0.6470588235294118,0.7619047619047619,34,50,1,0,0,1497.1555695814302,1689.1525322055727,-191.9969626241425,1528.668355091464,1687.0360303183554,-158.36767522689138
2423,2008-01-01,0.2337164750957854,0.7662835249042146,Hard,1st Round,WTA250_o_menor,83.0,0.0,0.0,0.0,0.5555555555555556,0.5,0.3333333333333333,0.48,8,54,0,1,0,1473.617460968047,1612.3269001206809,-138.70943915263388,1446.985968129369,1644.933857573242,-197.947889443873
