Date,Surface,Round,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score,tournament_type,prob_1,prob_2,target,elo_p1,elo_p2,elo_diff,elo_global_p1,elo_global_p2,elo_global_diff
2007-01-01,Hard,1st Round,Sun T.T.,Baker L.,Sun T.T.,81,272,332,90,1.33,3.0,6-1 6-1 ,WTA250_o_menor,0.6928406466512702,0.3071593533487298,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-01,Hard,1st Round,Myskina A.,Dulko G.,Dulko G.,16,59,1000,401,1.22,3.75,1-6 7-6 2-6,WTA250_o_menor,0.7545271629778673,0.2454728370221328,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-01,Hard,1st Round,Loit E.,Birnerova E.,Loit E.,56,84,418,324,1.72,2.0,6-1 6-1 ,WTA250_o_menor,0.5376344086021505,0.4623655913978494,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-01,Hard,1st Round,Nakamura A.,Craybas J.,Craybas J.,57,70,405,365,1.83,1.83,5-7 2-6 ,WTA250_o_menor,0.5,0.5,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-01,Hard,1st Round,Bartoli M.,Morita A.,Bartoli M.,18,180,951,152,1.16,4.5,7-6 6-3 ,WTA250_o_menor,0.7950530035335689,0.204946996466431,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-01,Hard,1st Round,Perry S.,Pin C.,Pin C.,44,75,455,349,1.5,2.5,3-6 7-5 2-6,WTA250_o_menor,0.625,0.375,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-01,Hard,1st Round,Daniilidou E.,Kostanic J.,Daniilidou E.,36,51,538,422,1.36,2.87,6-3 4-6 6-1,WTA250_o_menor,0.6784869976359339,0.3215130023640662,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-01,Hard,1st Round,Tu M.,Erakovic M.,Erakovic M.,90,162,312,171,1.5,2.5,3-6 6-4 5-7,WTA250_o_menor,0.625,0.375,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-01,Hard,1st Round,Razzano V.,Kanepi K.,Razzano V.,88,78,319,343,1.83,1.83,7-6 6-1 ,WTA250_o_menor,0.5,0.5,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-01,Hard,1st Round,Johansson M.,Laine E.,Laine E.,140,74,204,349,2.37,1.53,6-7 1-6 ,WTA250_o_menor,0.3923076923076922,0.6076923076923076,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-02,Hard,1st Round,Meusburger Y.,Bychkova E.,Meusburger Y.,135,76,210,345,1.72,2.0,7-5 6-0 ,WTA250_o_menor,0.5376344086021505,0.4623655913978494,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-02,Hard,1st Round,Muller M.,Suarez P.,Suarez P.,34,178,545,155,2.25,1.57,6-3 1-6 1-6,WTA250_o_menor,0.4109947643979057,0.5890052356020942,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-02,Hard,1st Round,Hantuchova D.,Cibulkova D.,Hantuchova D.,17,153,986,181,1.28,3.25,6-1 3-6 6-2,WTA250_o_menor,0.717439293598234,0.282560706401766,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-02,Hard,1st Round,Oprandi R.,Granville L.,Granville L.,53,68,421,372,2.1,1.66,3-6 4-6 ,WTA250_o_menor,0.4414893617021276,0.5585106382978724,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-02,Hard,1st Round,Zvonareva V.,Osterloh L.,Zvonareva V.,24,118,781,258,1.14,5.0,5-7 6-2 6-3,WTA250_o_menor,0.8143322475570033,0.1856677524429967,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-02,Hard,1st Round,Schruff J.,Jankovic J.,Jankovic J.,82,12,326,1211,5.5,1.12,3-6 4-6 ,WTA250_o_menor,0.1691842900302115,0.8308157099697885,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-02,Hard,2nd Round,Craybas J.,Dulko G.,Craybas J.,70,59,365,401,1.72,2.0,6-3 7-5 ,WTA250_o_menor,0.5376344086021505,0.4623655913978494,1,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-02,Hard,2nd Round,Bartoli M.,Loit E.,Loit E.,18,56,951,418,1.28,3.25,5-7 4-6 ,WTA250_o_menor,0.717439293598234,0.282560706401766,0,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-03,Hard,2nd Round,Suarez P.,Sun T.T.,Suarez P.,178,81,155,332,1.53,2.37,7-5 6-4 ,WTA250_o_menor,0.6076923076923076,0.3923076923076922,1,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-03,Hard,2nd Round,Erakovic M.,Daniilidou E.,Daniilidou E.,162,36,171,538,4.0,1.22,4-6 6-2 4-6,WTA250_o_menor,0.2337164750957854,0.7662835249042146,0,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-03,Hard,2nd Round,Pin C.,Meusburger Y.,Pin C.,75,135,349,210,1.53,2.37,2-6 6-3 6-3,WTA250_o_menor,0.6076923076923076,0.3923076923076922,1,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-03,Hard,2nd Round,Laine E.,Jankovic J.,Jankovic J.,74,12,349,1211,5.0,1.14,2-6 1-6 ,WTA250_o_menor,0.1856677524429967,0.8143322475570033,0,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-03,Hard,2nd Round,Razzano V.,Hantuchova D.,Razzano V.,88,17,319,986,3.25,1.28,6-1 7-5 ,WTA250_o_menor,0.282560706401766,0.717439293598234,1,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-03,Hard,2nd Round,Granville L.,Zvonareva V.,Zvonareva V.,68,24,372,781,3.25,1.28,4-6 1-6 ,WTA250_o_menor,0.282560706401766,0.717439293598234,0,1516.0,1516.0,0.0,1516.0,1516.0,0.0
2007-01-03,Hard,Quarterfinals,Pin C.,Loit E.,Pin C.,75,56,349,418,2.2,1.61,6-3 6-3 ,WTA250_o_menor,0.4225721784776903,0.5774278215223098,1,1532.0,1532.0,0.0,1532.0,1532.0,0.0
2007-01-04,Hard,Quarterfinals,Suarez P.,Craybas J.,Craybas J.,178,70,155,365,1.72,2.0,3-6 6-7 ,WTA250_o_menor,0.5376344086021505,0.4623655913978494,0,1532.0,1532.0,0.0,1532.0,1532.0,0.0
2007-01-04,Hard,Quarterfinals,Jankovic J.,Daniilidou E.,Jankovic J.,12,36,1211,538,1.19,4.0,6-3 6-4 ,WTA250_o_menor,0.770712909441233,0.2292870905587668,1,1532.0,1532.0,0.0,1532.0,1532.0,0.0
2007-01-05,Hard,Semifinals,Craybas J.,Zvonareva V.,Zvonareva V.,70,24,365,781,3.75,1.25,3-6 5-7 ,WTA250_o_menor,0.25,0.75,0,1548.0,1532.0,16.0,1548.0,1532.0,16.0
2007-01-06,Hard,The Final,Jankovic J.,Zvonareva V.,Jankovic J.,12,24,1211,781,1.53,2.37,7-6 5-7 6-3,WTA250_o_menor,0.6076923076923076,0.3923076923076922,1,1548.0,1548.736306793522,-0.7363067935220897,1548.0,1548.736306793522,-0.7363067935220897
2006-12-31,Hard,1st Round,Golds S.,Castano C.,Castano C.,599,54,20,420,5.0,1.14,3-6 4-6 ,WTA250_o_menor,0.1856677524429967,0.8143322475570033,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2006-12-31,Hard,1st Round,Sequera M.,Ivanova E.,Sequera M.,103,183,280,148,1.66,2.1,6-4 6-2 ,WTA250_o_menor,0.5585106382978724,0.4414893617021276,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2006-12-31,Hard,1st Round,Benesova I.,Bremond S.,Bremond S.,58,40,402,521,2.0,1.72,6-0 4-6 2-6,WTA250_o_menor,0.4623655913978494,0.5376344086021505,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2006-12-31,Hard,1st Round,Hingis M.,Bammer S.,Hingis M.,7,49,2018,430,1.08,6.5,6-0 6-2 ,WTA250_o_menor,0.8575197889182057,0.1424802110817942,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2006-12-31,Hard,1st Round,Camerin M.E.,Vesnina E.,Vesnina E.,50,47,426,445,2.25,1.57,3-6 2-6 ,WTA250_o_menor,0.4109947643979057,0.5890052356020942,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2006-12-31,Hard,1st Round,Ferguson S.,Sugiyama A.,Ferguson S.,184,26,146,716,5.0,1.14,7-6 6-4 ,WTA250_o_menor,0.1856677524429967,0.8143322475570033,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-01,Hard,1st Round,Shaughnessy M.,Peer S.,Peer S.,37,20,531,894,3.5,1.25,1-6 7-5 0-6,WTA250_o_menor,0.263157894736842,0.7368421052631579,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-01,Hard,1st Round,Li N.,Zahlavova S.,Li N.,21,156,875,176,1.16,4.5,6-0 6-4 ,WTA250_o_menor,0.7950530035335689,0.204946996466431,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-01,Hard,1st Round,King V.,Srebotnik K.,Srebotnik K.,60,23,398,819,2.37,1.53,4-6 3-6 ,WTA250_o_menor,0.3923076923076922,0.6076923076923076,0,1500.0,1500.0,0.0,1500.0,1500.0,0.0
2007-01-01,Hard,1st Round,Poutchkova O.,Fedak Y.,Poutchkova O.,39,80,525,334,1.5,2.5,6-7 7-6 6-3,WTA250_o_menor,0.625,0.375,1,1500.0,1500.0,0.0,1500.0,1500.0,0.0
